,GT,LNF_code,raw_DE,raw_ENG,1st_tier,2nd_tier,3rd_tier,4th_tier_ENG,empty,Accuracy (%)
49,50,569,"Mischungen von Ackerbohnen, Eiweisserbsen und Lupinen zu Futterzwecken mit Getreide, mindestens 30% Anteil Leguminosen bei der Ernte","Mixtures of field beans, protein peas and lupines for animal feed with cereals, at least 30% legume content at harvest",Vegetation,Field crops,CropMix,MixedCrop,,0.0
50,51,572,Blühstreifen für Bestäuber und andere Nützlinge,Bloom strips for pollinators and other beneficials,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,,2.27
51,52,573,Senf,mustard,Vegetation,Field crops,BroadLeafRowCrop,Mustard,,0.0
52,53,591,Winterraps als nachwachsender Rohstoff,Winter rape as a renewable raw material,Vegetation,Field crops,BroadLeafRowCrop,WinterRapeseed,,0.0
53,54,592,Sonnenblumen als nachwachsender Rohstoff,Sunflowers as regrowing ressource,Vegetation,Field crops,BroadLeafRowCrop,Sunflowers,,0.0
54,55,594,"Offene Ackerfläche, beitragsberechtigt (regionsspezifische Biodiversitätsförderfläche)","open arable land, eligible for subsidies (region-specific biodiversity area)",Bare soil,,,,,0.0
55,56,597,"Übrige offene Ackerfläche, beitragsberechtigt","Other open arable land, eligible",Bare soil,,,,,
56,57,598,"Übrige offene Ackerfläche, nicht beitragsberechtigt","Other open arable land, not eligible",Bare soil,,,,,0.0
57,58,601,Kunstwiesen (ohne Weiden),Art meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,,0.0
58,59,602,"Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide)","Other artificial meadow, eligible (eg pork pasture, poultry pasture)",Vegetation,Grassland,Meadow,Meadow,,45.42
59,60,611,Extensiv genutzte Wiesen (ohne Weiden),Extensively used meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,,0.0
60,61,612,Wenig intensiv genutzte Wiesen (ohne Weiden),Little intensively used meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,,36.36
61,62,613,Übrige Dauerwiesen (ohne Weiden),Other permanent pastures (without pastures),Vegetation,Grassland,Meadow,Meadow,,0.0
62,63,616,"Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden)","Pastures (pastures, other pastures without summer pastures)",Vegetation,Grassland,Pasture,Pasture,,70.56
63,64,617,Extensiv genutzte Weiden,Extensively used pastures,Vegetation,Grassland,Pasture,Pasture,,41.11
64,65,618,Waldweiden (ohne bewaldete Fläche),Forest pastures (without wooded area),Vegetation,Grassland,Pasture,Pasture,,0.27
65,66,621,"Heuwiesen im Sömmerungsgebiet, Übrige Wiesen","Hay meadows in the summering area, other meadows",Vegetation,Grassland,Meadow,Meadow,,0.0
66,67,622,"Heuwiesen im Sömmerungsgebiet, Typ extensiv genutzte Wiese","Hay meadows in the summering area, type extensively used meadow",Vegetation,Grassland,Meadow,Meadow,,0.0
67,68,625,Waldweiden (ohne bewaldete Fläche),Forest pastures (without wooded area),Vegetation,Grassland,Pasture,Pasture,,
68,69,631,Futterleguminosen für die Samenproduktion (Vertragsanbau),fodder legumes (Fabaceae) for seed production (by contract),Vegetation,Field crops,BroadLeafRowCrop,Legumes,,
69,70,632,Futtergräser für die Samenproduktion (Vertragsanbau),fodder grasses for seed production (by contract),Vegetation,Grassland,,,,0.0
70,71,634,Uferwiesen entlang von Fliessgewässern (ohne Weiden),Riverside meadows along rivers (without pastures),Vegetation,Grassland,Meadow,Meadow,,0.0
71,72,697,"Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt","Other green area (permanent green area), entitled to contributions",Vegetation,Grassland,BiodiversityArea,,,0.0
72,73,698,"Übrige Grünfläche (Dauergrünflächen), nicht beitragsberechtigt","Remaining green area (permanent green areas), not eligible",Vegetation,Grassland,,,,0.0
73,74,701,Reben,vines,Vegetation,Orchards,OrchardCrop,Vines,,0.0
74,75,702,Obstanlagen (Äpfel),Fruit plants (apples),Vegetation,Orchards,OrchardCrop,Apples,,61.08
75,76,703,Obstanlagen (Birnen),Fruit plants (pears),Vegetation,Orchards,OrchardCrop,Pears,,57.84
76,77,704,Obstanlagen (Steinobst),Fruit plants (Steinobs),Vegetation,Orchards,OrchardCrop,StoneFruit,,17.51
77,78,705,Mehrjährige Beeren,Perennial berries,Vegetation,Special crops,Berries,Berries,,2.07
78,79,706,Mehrjährige Gewürz- und Medizinalpflanzen,Perennial spice and medicinal plants,Vegetation,Special crops,,,,0.0
79,80,707,"Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.)","Perennial renewable resources (miscanthus, etc.)",Vegetation,Special crops,,,,0.0
80,81,708,Hopfen,hop,Vegetation,Orchards,OrchardCrop,Hops,,0.0
81,82,709,Rhabarber,rhubarb,Vegetation,Special crops,,,,0.0
82,83,710,Spargel,asparagus,Vegetation,Special crops,,,,0.0
83,84,712,Christbäume,Christmas trees,Vegetation,Orchards,TreeCrop,TreeCrop,,34.26
84,85,713,Baumschule von Forstpflanzen ausserhalb der Forstzone,Nursery of forest plants outside the forest zone,Vegetation,Orchards,TreeCrop,TreeCrop,,15.83
85,86,714,"Ziersträucher, Ziergehölze und Zierstauden","Ornamental shrubs, ornamental shrubs and ornamental shrubs",Vegetation,Special crops,,,,0.0
86,87,715,"Übrige Baumschulen (Rosen, Früchte, usw.)","Other nurseries (roses, fruits, etc.)",Vegetation,Special crops,,,,0.0
87,88,717,Rebflächen mit natürlicher Artenvielfalt,Vineyards with natural biodiversity,Vegetation,Orchards,OrchardCrop,Vines,,0.0
88,89,718,Trüffelanlagen,Truffle plants (in production),Vegetation,Special crops,,,,0.0
89,90,719,Maulbeerbaumanlagen (Fütterung Seidenraupen),Mulberry trees (feeding silkworms),Vegetation,Special crops,,,,0.0
90,91,720,Gepflegte Selven (Kastanienbäume),Cultivated selven (chestnut trees),Vegetation,Orchards,OrchardCrop,Chestnut,,0.0
91,92,721,Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus),Perennial horticultural outdoor crops (not in the greenhouse),Vegetation,Special crops,,,,
92,93,722,Baumschulen von Reben,vines nursery,Vegetation,Orchards,OrchardCrop,Vines,,0.0
93,94,731,"Andere Obstanlagen (Kiwis, Holunder usw.)","Other fruit plants (kiwis, elderberries, etc.)",Vegetation,Special crops,,,,0.0
94,95,735,Reben (regionsspezifische Biodiversitätsförderflächen),vines (region-specific biodiversity area),Vegetation,Orchards,OrchardCrop,Vines,,0.0
95,96,797,"Übrige Flächen mit Dauerkulturen, beitragsberechtigt","Other areas with permanent crops, eligible",Vegetation,Special crops,BiodiversityArea,,,0.0
96,97,798,"Übrige Flächen mit Dauerkulturen, nicht beitragsberechtigt","Other areas with permanent crops, not eligible",Vegetation,Special crops,,,,0.0
97,98,801,Gemüsekulturen in Gewächshäusern mit festem Fundament,Vegetable crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Vegetables,,0.0
98,99,802,Übrige Spezialkulturen in Gewächshäusern mit festem Fundament,Other specialized crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Special cultures,,
99,100,803,Gärtnerische Kulturen in Gewächshäusern mit festem Fundament,Horticultural crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Special cultures,,0.0
100,101,806,Gemüsekulturen in geschütztem Anbau ohne festes Fundament,Vegetable crops in protected cultivation without firm foundations,,,ProtectedCultivation,Vegetables,,0.0
101,102,807,Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament,Other special crops in protected cultivation without firm foundations,,,ProtectedCultivation,Special cultures,,0.0
102,103,808,Gärtnerische Kulturen in geschütztem Anbau ohne festes Fundament,Horticultural crops in protected cultivation without firm foundations,,,ProtectedCultivation,Special cultures,,0.0
103,104,847,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, beitragsberechtigt",Other crops in protected cultivation without a firm foundation,,,ProtectedCultivation,Special cultures,,0.0
104,105,848,Übrige Kulturen in geschütztem Anbau mit festem Fundament,other cultures in protected cultivation with solid foundation),Infrastructure,,,,,0.0
105,106,849,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, nicht beitragsberechtigt","Other crops in protected cultivation without firm foundations, not eligible",,,ProtectedCultivation,Special cultures,,
106,107,851,Streueflächen in der LN,Scattering areas in the LN,Vegetation,Special crops,,,,
107,108,852,"Hecken-, Feld- und Ufergehölze (mit Krautsaum)","Hedge, field and bank shrubs (with herbaceous area)",Vegetation,Special crops,Hedge,Hedge,,
108,109,857,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen)","Hedgerow, field and bank shrubs (with buffer strips)",Vegetation,Special crops,Hedge,Hedge,,2.43
109,110,858,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen) (regionsspezifische Biodiversitätsförderfläche)","Hedgerow, field and bank shrubs (with buffer strips) (region-specific biodiversity production area)",Vegetation,Special crops,Hedge,Hedge,,0.02
110,111,897,"Übrige Flächen innerhalb der LN, beitragsberechtigt","Other areas within the LN, entitled to contribute",Undefined,,,Multiple,,0.0
111,112,898,"Übrige Flächen innerhalb der LN, nicht beitragsberechtigt","Other areas within the LN, not eligible",Undefined,,,Multiple,,0.0
112,113,901,Wald,Forest,Vegetation,Forest,Forest,Forest,,0.0
113,114,902,"Übrige unproduktive Flächen (z.B. gemulchte Flächen, stark verunkrautete Flächen, Hecken ohne Pufferstreifen)","Other unproductive areas (eg mulched areas, heavily weedy areas, hedges without buffer strips)",Vegetation,Special crops,Multiple,Multiple,,0.0
114,115,903,"Flächen ohne landwirtschaftliche Hauptzweckbestimmung (erschlossenes Bauland, Spiel-, Reit-, Camping-, Golf-, Flug- und Militärplätze oder ausgemarchte Bereiche von Eisenbahnen, öffentlichen Strassen und Gewässern)","Areas without main agricultural purpose (developed building land, playground, riding, camping, golf, air and military spaces",Undefined,,Undefined,Non agriculture,,0.0
115,116,904,"Wassergräben, Tümpel, Teiche","Ditches, ponds, ponds",Undefined,,,Waters,,0.0
116,117,905,"Ruderalflächen, Steinhaufen und -wälle","Ruderal areas, cairns and ramparts",Infrastructure,,,Non agriculture,,0.0
117,118,906,Trockenmauern,dry stone walls,Infrastructure,,,Multiple,,0.0
118,119,907,"Unbefestigte, natürliche Wege","non-asphalted, natural paths",Bare soil,,,,,0.0
119,120,908,Regionsspezifische Biodiversitätsförderflächen,Region-specific biodiversity promotion areas,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,,0.0
120,121,909,Hausgärten,home gardens,Vegetation,Special crops,Gardens,Gardens,,0.0
121,122,911,"Landwirtschaftliche Produktion in Gebäuden (z. B. Champignon, Brüsseler)","agricultural production in buildings (e.g. champignons, brussel sprouts)",Infrastructure,,,,,0.0
122,123,930,Sömmerungsweiden,Summer pastures,Vegetation,Grassland,Pasture,Pasture,,
123,124,998,Übrige Flächen ausserhalb der LN und SF,Other areas outside the LN and SF,Undefined,,Undefined,Non agriculture,,0.0
